downloaded,language,form,dataset_name,child_id,age,comprehension,production,caregiver_education,sex,monolingual
2022-11-11,Danish,WS,Bleses,8916,17,13,13,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8918,17,31,31,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8923,17,22,22,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8926,17,69,69,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8928,17,14,14,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8929,17,14,14,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8930,17,52,52,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8931,17,26,26,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8932,17,35,35,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8933,17,137,137,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8939,17,15,15,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8940,17,22,22,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8941,17,41,41,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8946,16,29,29,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8947,16,12,12,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8948,16,11,11,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8949,16,8,8,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8953,16,2,2,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8954,16,14,14,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8955,16,43,43,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8959,16,32,32,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8961,16,40,40,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8963,16,49,49,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8964,16,22,22,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8966,16,10,10,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8967,16,2,2,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8970,30,239,239,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8974,30,402,402,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8975,30,271,271,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8977,29,314,314,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8978,29,532,532,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8979,29,306,306,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8980,29,575,575,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8982,29,382,382,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8986,28,286,286,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8987,28,493,493,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8989,28,116,116,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8990,28,423,423,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,8995,28,476,476,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8996,28,396,396,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,8999,27,419,419,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9002,26,357,357,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9009,26,482,482,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9011,26,109,109,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9014,25,395,395,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9015,25,251,251,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9019,25,168,168,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9020,25,206,206,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9022,24,300,300,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9023,24,365,365,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9024,24,244,244,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9025,24,62,62,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9026,24,307,307,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9027,24,109,109,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9033,23,358,358,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9034,23,512,512,Some College,Female,TRUE
2022-11-11,Danish,WS,Bleses,9036,23,315,315,Some College,Male,TRUE
2022-11-11,Danish,WS,Bleses,9038,23,346,346,Some College,Male,TRUE
